"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/TheChartress/status/1813672792723996901","Wed Jul 17 20:31:04 +0000 2024","This is one of my new favorite topics: Elon Musk is the King of AI and most people don't even realize it $TSLA https://t.co/PMU3ErSY6p","76","14"
"https://twitter.com/TSLA_Bitcoin/status/1813713156319183281","Wed Jul 17 23:11:28 +0000 2024","Best Sedan: Model 3
Best SUV: Model Y
Best Pickup: Cybertruck

Best Car: Tesla https://t.co/9LsaRBnYoA","24","5"
"https://twitter.com/Ross__Hendricks/status/1813664218652303560","Wed Jul 17 19:57:00 +0000 2024","I've eyed very solid fundamental support levels for $TSLA at $39 per share https://t.co/mNElel9PHH","76","5"
"https://twitter.com/pdicarlotrader/status/1813712901318066588","Wed Jul 17 23:10:27 +0000 2024","Another weak day for $TSLA and it seems our $230 - $220 buy target will happen before earnings 🚨

Find out why we are expecting a continued pull back, where I plan to average down on my calls, and my price target after earnings ⬇️🎢 https://t.co/KcCUc1vwU5","116","10"
"https://twitter.com/CuriousPejjy/status/1813685583677714620","Wed Jul 17 21:21:54 +0000 2024","Never bet against $TSLA. 

Here are the short sellers that got burned trying to short Tesla: 🧵

1. Jim Chanos

Lost more than $527M shorting $TSLA and later shuts down his hedge fund. https://t.co/kJfffC5Z10","234","25"
