"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/Iucidcapital/status/1810876658574053859","Wed Jul 10 03:20:14 +0000 2024","$INTC Phase 1 https://t.co/DpZtBJVMF9","20","5"
"https://twitter.com/JonETrades/status/1811433944333852940","Thu Jul 11 16:14:41 +0000 2024","$INTC bulls https://t.co/U8cUHPcLgs","3","0"
"https://twitter.com/KcRealEstateCa/status/1811596593310675124","Fri Jul 12 03:01:00 +0000 2024","$INTC HAS ALWAYS BEEN AN UNDERDOG IN THE SEMICONDUCTOR INDUSTRY!!! https://t.co/tiBZkdHFdG","0","0"
"https://twitter.com/insidebarbandit/status/1811390918383001626","Thu Jul 11 13:23:43 +0000 2024","$INTC close to triggering 2u on the daily‼️ https://t.co/Ziu7SATrmR","7","0"
"https://twitter.com/dafster17/status/1811418430412865609","Thu Jul 11 15:13:02 +0000 2024","$INTC

Broke and never looked back https://t.co/9K9MeyVNmS","4","0"
