"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/EconomyApp/status/1787123465545285764","Sun May 05 14:13:31 +0000 2024","Choose your fighter
$MSFT $GOOG $AMZN $META https://t.co/CWqy76HU2o","2605","625"
"https://twitter.com/ghostx_trader/status/1811441539236921760","Thu Jul 11 16:44:52 +0000 2024","MSFT 600 https://t.co/xU8f3eosbn","43","3"
"https://twitter.com/PelosiTracker_/status/1550164704936333313","Thu Jul 21 17:04:00 +0000 2022","""Has your husband ever made a stock purchase based on info he received from you?

Pelosi: ""No, absolutely not""

As a reminder, prior trades questioned by the public include:

$TSLA right before Biden's EV plan
$MSFT right before $10B Gov. Contract
$NVDA right before CHIPS act https://t.co/XynhyyXnYB","14459","3429"
"https://twitter.com/JSECTEAM/status/1810835935791108292","Wed Jul 10 00:38:25 +0000 2024","2024 年 7 月 のマイクロソフト月例セキュリティ更新プログラムを公開しました。既定では自動で更新されます。更新管理を行っている組織向けに、概要をブログで公開しています。ご参照の上、早期に更新の展開をお願いします。
https://t.co/byW9QlI2cM
#セキュリティ #更新プログラム #マイクロソフト https://t.co/vF9DFDG2DT","160","122"
"https://twitter.com/MSFTCopilot/status/1792625882634281231","Mon May 20 18:38:10 +0000 2024","Coming Soon: Copilot 🤝 Minecraft https://t.co/yncla0gCG9","6641","896"
