"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/TaPlot/status/1809236140169265383","Fri Jul 05 14:41:24 +0000 2024","Sold some $googl as well as it hits 5R https://t.co/Gny3GjAuCQ","51","3"
"https://twitter.com/queequegcap/status/1811574008971952508","Fri Jul 12 01:31:15 +0000 2024","@borrowed_ideas @PranavRawal23 @pekwat This over GOOGL?","1","0"
"https://twitter.com/cdntradegrljenn/status/1810772137395036664","Tue Jul 09 20:24:54 +0000 2024","These stocks all hit new 52 week highs today! 

Apple $AAPL
Google $GOOGL
Costco $COST
Walmart $WMT
Eli Lilly $LLY
Palantir $PLTR
Goldman Sachs $GS
Bank of America $BAC
Citi $C
CrowdStruke $CRWD
Trade Desk $TTD
Royal Caribbean $RCL
Lam Research $LRC
Applied Materials $AMAT
Arista https://t.co/7gTxzioAqH","22","2"
"https://twitter.com/gurgavin/status/1617330841457414144","Mon Jan 23 01:18:15 +0000 2023","UPDATE SHE JUST GOT FIRED $GOOGL $GOOG https://t.co/xms1PSaRxe","6496","684"
"https://twitter.com/giro_lino/status/1810327721844547995","Mon Jul 08 14:58:57 +0000 2024","Fascinating insight from @AravSrinivas on @lexfridman's podcast: @perplexity_ai's unique approach to search and ads.
""You don't need to set out to build the greatest business of mankind.""
$GOOGL might have a disruptor. https://t.co/x7BBg83Nkf","14","0"
